dataset,snr,method,metric,stochastic,n_runs,median,mean,std,ci_lo,ci_hi
clusters,1.0,PCC,full_stress_fidelity,True,3,0.6155681321883628,0.6158238313480159,0.0009773062812409845,0.6147753923553212,0.6171279695003637
clusters,1.0,PCC,shepard_p5__vs_truth,True,3,0.0598665745740838,0.0613241650999412,0.008265883131015828,0.0520083693658399,0.0720975513598999
clusters,1.0,PCC,shepard_p10__vs_truth,True,3,0.0963879331935496,0.09339320427783777,0.006595389466546375,0.0842458435870288,0.0995458360529349
clusters,1.0,PCC,shepard_p20__vs_truth,True,3,0.6663959749634986,0.6682184258525616,0.004123769856877031,0.6643320246633869,0.6739272779307992
clusters,1.0,PCC,shepard_p30__vs_truth,True,3,0.7686599009887487,0.7688764284998811,0.001020898292420515,0.7677484937022641,0.7702208908086309
clusters,1.0,PCC,shepard_p50__vs_truth,True,3,0.6350841987107384,0.635251249804623,0.0009378182841784759,0.6341953346333912,0.6364742160697394
clusters,1.0,PCC,shepard_p75__vs_truth,True,3,0.5072480216369706,0.5043045540054082,0.004258530905801446,0.4982825864659643,0.5073830539132897
clusters,1.0,PCC,shepard_p100__vs_truth,True,3,0.4482886462467966,0.44168314810024006,0.009866734091416833,0.4277359540849759,0.4490248439689477
clusters,1.0,PCC,stress_p5__vs_truth,True,3,0.81228409521374,0.8119025376515124,0.006042757317612895,0.8043183033610054,0.8191052143797918
clusters,1.0,PCC,stress_fidelity_p5__vs_truth,True,3,0.18771590478626,0.1880974623484876,0.006042757317612907,0.1808947856202082,0.1956816966389946
clusters,1.0,PCC,stress_p10__vs_truth,True,3,0.8004921258581282,0.8020073081301463,0.006665844932533375,0.7947070831843133,0.8108227153479974
clusters,1.0,PCC,stress_fidelity_p10__vs_truth,True,3,0.1995078741418717,0.19799269186985366,0.006665844932533385,0.1891772846520025,0.2052929168156867
clusters,1.0,PCC,stress_p20__vs_truth,True,3,0.3299621316948395,0.32922162973216007,0.0012387480797199308,0.3274764286281011,0.3302263288735396
clusters,1.0,PCC,stress_fidelity_p20__vs_truth,True,3,0.6700378683051604,0.6707783702678398,0.0012387480797199568,0.6697736711264604,0.6725235713718989
clusters,1.0,PCC,stress_p30__vs_truth,True,3,0.307677928230493,0.3077185917438102,0.0005699673926497878,0.3070417476962132,0.3084360993047245
clusters,1.0,PCC,stress_fidelity_p30__vs_truth,True,3,0.692322071769507,0.6922814082561898,0.0005699673926497904,0.6915639006952754,0.6929582523037867
clusters,1.0,PCC,stress_p50__vs_truth,True,3,0.3001320746903583,0.3006308631941645,0.0009666975084548035,0.299777912839952,0.3019826020521832
clusters,1.0,PCC,stress_fidelity_p50__vs_truth,True,3,0.6998679253096416,0.6993691368058355,0.0009666975084547681,0.6980173979478168,0.700222087160048
clusters,1.0,PCC,stress_p75__vs_truth,True,3,0.2984126830217888,0.29865724922524267,0.00035366588649672474,0.2984016965584095,0.2991573680955297
clusters,1.0,PCC,stress_fidelity_p75__vs_truth,True,3,0.7015873169782112,0.7013427507747574,0.00035366588649673753,0.7008426319044703,0.7015983034415905
clusters,1.0,PCC,stress_p100__vs_truth,True,3,0.2977619395208712,0.29786980088714016,0.000667345719020808,0.2971117587214102,0.2987357044191391
clusters,1.0,PCC,stress_fidelity_p100__vs_truth,True,3,0.7022380604791287,0.7021301991128598,0.0006673457190208321,0.7012642955808608,0.7028882412785897
